ID,label
1,4
2,3
3,1
4,3
5,3
6,1
7,8
8,8
9,1
10,3
11,4
12,8
13,4
14,8
15,3
16,4
17,3
18,4
19,3
20,3
21,3
22,8
23,3
24,4
25,8
26,3
27,8
28,1
29,1
30,1
31,4
32,1
33,1
34,1
35,8
36,3
37,8
38,1
39,1
40,3
41,1
42,8
43,1
44,8
45,1
46,1
47,4
48,4
49,4
50,4
51,1
52,8
53,3
54,4
55,8
56,8
57,8
58,4
59,3
60,3
61,3
62,3
63,3
64,8
65,3
66,3
67,8
68,1
69,4
70,3
71,4
72,4
73,4
74,3
75,1
76,8
77,3
78,1
79,1
80,3
81,3
82,1
83,3
84,1
85,8
86,8
87,4
88,1
89,3
90,1
91,8
92,8
93,1
94,3
95,8
96,3
97,3
98,3
99,8
100,1
101,1
102,4
103,3
104,4
105,1
106,1
107,3
108,3
109,3
110,4
111,8
112,1
113,3
114,4
115,1
116,8
117,8
118,1
119,4
120,3
121,8
122,8
123,8
124,4
125,1
126,4
127,3
128,4
129,4
130,8
131,1
132,8
133,8
134,3
135,4
136,8
137,4
138,4
139,3
140,1
141,1
142,8
143,3
144,1
145,4
146,3
147,3
148,1
149,8
150,3
151,8
152,8
153,1
154,4
155,4
156,1
157,1
158,8
159,8
160,1
161,1
162,3
163,1
164,4
165,3
166,4
167,4
168,1
169,4
170,1
171,8
172,3
173,8
174,8
175,4
176,4
177,3
178,1
179,3
180,1
181,3
182,8
183,8
184,4
185,4
186,8
187,8
188,1
189,4
190,3
191,4
192,1
193,1
194,4
195,8
196,4
197,8
198,3
199,8
200,4
201,8
202,1
203,3
204,1
205,1
206,3
207,8
208,1
209,3
210,3
211,1
212,3
213,4
214,1
215,1
216,3
217,4
218,1
219,1
220,3
221,8
222,8
223,3
224,1
225,1
226,8
227,4
228,1
229,1
230,1
231,8
232,1
233,8
234,1
235,3
236,8
237,4
238,4
239,1
240,1
241,4
242,8
243,3
244,1
245,3
246,1
247,3
248,4
249,4
250,3
251,1
252,3
253,3
254,8
255,4
256,3
257,8
258,3
259,3
260,1
261,8
262,8
263,3
264,8
265,3
266,1
267,1
268,4
269,1
270,4
271,1
272,4
273,3
274,4
275,3
276,1
277,1
278,8
279,8
280,8
281,1
282,8
283,3
284,4
285,1
286,8
287,4
288,1
289,3
290,4
291,1
292,3
293,4
294,1
295,1
296,8
297,3
298,4
299,4
300,4
301,3
302,1
303,4
304,3
305,1
306,3
307,4
308,1
309,3
310,4
311,4
312,4
313,1
314,8
315,1
316,3
317,1
318,1
319,1
320,4
321,3
322,1
323,3
324,4
325,1
326,1
327,3
328,1
329,4
330,4
331,4
332,4
333,8
334,8
335,4
336,1
337,1
338,8
339,1
340,1
341,3
342,4
343,4
344,8
345,8
346,8
347,3
348,3
349,1
350,3
351,8
352,1
353,8
354,3
355,1
356,1
357,1
358,8
359,4
360,3
361,4
362,1
363,3
364,8
365,8
366,1
367,3
368,3
369,4
370,8
371,4
372,8
373,3
374,4
375,8
376,8
377,4
378,3
379,8
380,4
381,4
382,4
383,1
384,8
385,1
386,4
387,4
388,8
389,8
390,4
391,8
392,8
393,1
394,4
395,4
396,3
397,8
398,1
399,4
400,4
401,8
402,4
403,3
404,1
405,8
406,1
407,4
408,3
409,4
410,1
411,3
412,4
413,4
414,8
415,1
416,1
417,8
418,4
419,4
420,1
421,8
422,1
423,8
424,4
425,4
426,3
427,4
428,4
429,8
430,3
431,3
432,8
433,3
434,1
435,3
436,4
437,1
438,8
439,1
440,4
441,3
442,8
443,8
444,1
445,8
446,3
447,8
448,3
449,3
450,4
451,8
452,4
453,3
454,4
455,1
456,1
457,8
458,4
459,3
460,4
461,3
462,1
463,3
464,3
465,1
466,1
467,4
468,1
469,4
470,1
471,4
472,4
473,1
474,3
475,1
476,3
477,4
478,1
479,4
480,3
481,1
482,3
483,8
484,3
485,1
486,1
487,1
488,8
489,3
490,4
491,4
492,8
493,4
494,3
495,1
496,8
497,3
498,3
499,1
500,3
501,3
502,8
503,4
504,1
505,1
506,4
507,8
508,3
509,3
510,8
511,4
512,3
513,8
514,4
515,1
516,3
517,1
518,4
519,1
520,4
521,4
522,1
523,3
524,1
525,1
526,3
527,8
528,1
529,3
530,8
531,4
532,1
533,3
534,4
535,8
536,1
537,1
538,3
539,8
540,4
541,3
542,4
543,3
544,4
545,8
546,4
547,3
548,8
549,8
550,4
551,3
552,4
553,8
554,3
555,8
556,4
557,3
558,3
559,3
560,3
561,3
562,8
563,3
564,1
565,1
566,4
567,4
568,1
569,1
570,4
571,1
572,1
573,1
574,4
575,8
576,4
577,4
578,3
579,4
580,4
581,3
582,8
583,8
584,8
585,3
586,4
587,8
588,4
589,8
590,8
591,3
592,4
593,8
594,8
595,1
596,3
597,4
598,3
599,8
600,3
601,8
602,1
603,4
604,4
605,4
606,3
607,8
608,4
609,1
610,1
611,3
612,1
613,4
614,1
615,3
616,4
617,1
618,4
619,3
620,4
621,1
622,3
623,4
624,1
625,4
626,4
627,1
628,4
629,3
630,4
631,8
632,3
633,3
634,8
635,4
636,8
637,1
638,1
639,8
640,1
641,1
642,3
643,1
644,8
645,3
646,4
647,3
648,3
649,1
650,3
651,3
652,1
653,1
654,3
655,4
656,8
657,3
658,8
659,1
660,4
661,4
662,8
663,8
664,3
665,8
666,3
667,4
668,8
669,4
670,4
671,4
672,3
673,8
674,3
675,1
676,8
677,3
678,3
679,1
680,1
681,4
682,1
683,8
684,4
685,4
686,1
687,4
688,8
689,3
690,4
691,3
692,8
693,1
694,1
695,8
696,8
697,4
698,4
699,8
700,3
701,8
702,4
703,1
704,1
705,8
706,4
707,3
708,8
709,4
710,8
711,8
712,1
713,8
714,4
715,3
716,3
717,3
718,3
719,1
720,8
721,4
722,3
723,3
724,8
725,3
726,1
727,3
728,3
729,3
730,1
731,3
732,1
733,3
734,3
735,3
736,3
737,1
738,3
739,8
740,1
741,3
742,1
743,1
744,4
745,4
746,3
747,4
748,8
749,3
750,3
751,3
752,3
753,1
754,3
755,3
756,1
757,1
758,4
759,8
760,1
761,4
762,3
763,1
764,4
765,8
766,1
767,3
768,3
769,4
770,8
771,1
772,3
773,4
774,8
775,3
776,3
777,3
778,1
779,4
780,1
781,3
782,3
783,4
784,8
785,3
786,3
787,1
788,3
789,8
790,1
791,1
792,3
793,1
794,4
795,8
796,1
797,4
798,3
799,3
800,3
801,8
802,1
803,4
804,3
805,1
806,4
807,3
808,4
809,3
810,4
811,8
812,4
813,8
814,3
815,4
816,3
817,3
818,1
819,3
820,3
821,1
822,1
823,4
824,3
825,3
826,1
827,1
828,1
829,1
830,8
831,8
832,1
833,4
834,8
835,3
836,3
837,1
838,1
839,3
840,1
841,3
842,4
843,1
844,3
845,3
846,1
847,3
848,4
849,3
850,3
851,1
852,1
853,8
854,8
855,8
856,3
857,1
858,3
859,3
860,1
861,4
862,4
863,8
864,8
865,3
866,8
867,3
868,1
869,3
870,4
871,8
872,3
873,8
874,8
875,4
876,3
877,4
878,3
879,1
880,3
881,3
882,1
883,3
884,4
885,4
886,4
887,3
888,8
889,4
890,1
891,1
892,3
893,4
